Inggris;Indonesia;
sting;menyengat/ga enak;
chop up;mencincang;
have some more;silahkan nambah lagi;
terrible;sangat buruk;
lack;kurang;
I want to have some;nambah ahh;
to eat like horse;makan dengan lahap;
have nice meal;silahkan menikmati;
edible;bisa dimakan;
a couple of time;beberapa kali;
its on me;saya yang teraktir;
appetizer;makanan pembuka;
;;
it's pile of cake;itu mudah kok;
;;
hurt;melukai/resa nyeri;
ache;rasa nyeri;pada bagian tubuh tertentu
pain;rasa nyeri;rasa nyeri psikologis
ill;rasa nyeri;
sick;rasa nyeri;seperti mual
;;
part of body;;
head;kepala;
hair;rambut;
eyebrows;alis;
eyes;mata;
nose;hidung;
ears;kuping;
;;
mouth;mulut;
lips;bibir;
tooth/teeth;gigi;
tongue;lidah;
;;
hand;tangan;
arm;lengan;
;;
fingers;jari jemari;
little finger;jari kelingking;
ring finger;jari manis;
middle finger;jari tengah;
index finger;jari telunjuk;
thumb;jempol;
;;
neck;leher;
shoulders;bahu;
stomach/tummy;perut;
;;
legs;kaki/tungkai;
knee;lutut;
foot/feet;telapak kaki;
tou;jari kaki;
;;
holiday;liburan pasti;
vacation;liburan yang lakukan;
;;
date(UK);dalam b.inggris sebutkan nomina terkecil;
hour;jam ;
o'clock;pukul;
quarter;seperempat jam;
half;setengah jam;
to;kurang;
past;lewat;
a.m;ante meridiem;
p.m;post meridiem;
;;
date(US);penyebutkan sesuai urutan;
launch;meluncurkan;
;;
family;;
sibling;saudara kandung;
spouse;pasangan;
immediate family;keluarga dekat;
niece;keponakan pr;
nephew;keponakan lk;
cousin;sepupu;
