Adjective/Adverb tanpa -ly,Arti (tanpa -ly),Adverb dengan -ly,Arti (dengan -ly)
hard,keras / sulit,hardly,hampir tidak
late,terlambat,lately,akhir-akhir ini
near,dekat,nearly,hampir
high,tinggi (secara posisi),highly,sangat / berderajat tinggi
deep,dalam (secara fisik),deeply,sangat / secara mendalam (emosional)
most,paling banyak (jumlah),mostly,sebagian besar
close,dekat (jarak),closely,secara dekat / dengan cermat
short,pendek,shortly,segera / dalam waktu singkat
just,adil / tepat,justly,secara adil
pretty,cantik,prettily,dengan cara yang cantik / manis
