Bahasa Inggris,Terjemahan,Kolom Kosong 1,Kolom Kosong 2,Kalimat dari Cerita
weekend,akhir pekan,,,"Last weekend, our small town experienced an unusual event."
small,kecil,,,"Last weekend, our small town experienced an unusual event."
town,kota,,,"Last weekend, our small town experienced an unusual event."
experienced,berpengalaman / mengalami,,,"Last weekend, our small town experienced an unusual event."
unusual,tidak biasa,,,"Last weekend, our small town experienced an unusual event."
event,kejadian / acara,,,"Last weekend, our small town experienced an unusual event."
lost,hilang,,,A lost penguin was found wandering near the local market.
penguin,pinguin,,,A lost penguin was found wandering near the local market.
found,ditemukan,,,A lost penguin was found wandering near the local market.
wandering,berkeliaran,,,A lost penguin was found wandering near the local market.
near,dekat,,,A lost penguin was found wandering near the local market.
local,lokal,,,A lost penguin was found wandering near the local market.
market,pasar,,,A lost penguin was found wandering near the local market.
surprising,mengejutkan,,,Surprising both residents and visitors.
residents,penduduk,,,Surprising both residents and visitors.
visitors,pengunjung,,,Surprising both residents and visitors.
seemed,tampak,,,The bird seemed healthy but confused.
healthy,sehat,,,The bird seemed healthy but confused.
confused,bingung,,,The bird seemed healthy but confused.
traveled,bepergian,,,No one knew how it had traveled so far from its natural habitat.
natural,alami,,,No one knew how it had traveled so far from its natural habitat.
habitat,habitat,,,No one knew how it had traveled so far from its natural habitat.
group,kelompok,,,A group of children followed it carefully.
children,anak-anak,,,A group of children followed it carefully.
followed,mengikuti,,,A group of children followed it carefully.
carefully,hati-hati,,,A group of children followed it carefully.
arrived,tiba,,,Until the local animal rescue team arrived.
experts,ahli,,,"Later, experts explained that the penguin might have been carried by strong ocean currents."
explained,menjelaskan,,,"Later, experts explained that the penguin might have been carried by strong ocean currents."
might,mungkin,,,"Later, experts explained that the penguin might have been carried by strong ocean currents."
carried,terbawa,,,"Later, experts explained that the penguin might have been carried by strong ocean currents."
strong,kuat,,,"Later, experts explained that the penguin might have been carried by strong ocean currents."
ocean,lautan,,,"Later, experts explained that the penguin might have been carried by strong ocean currents."
currents,arus,,,"Later, experts explained that the penguin might have been carried by strong ocean currents."
shores,pantai,,,Before ending up on our shores.
safely,dengan aman,,,The rescue team safely transported the penguin.
transported,mengangkut,,,The rescue team safely transported the penguin.
marine,laut,,,To a marine sanctuary.
sanctuary,suaka,,,To a marine sanctuary.
cared,dirawat,,,Where it will be cared for until it can return to the wild.
wild,alam liar,,,Where it will be cared for until it can return to the wild.
