Verb,Pattern,Example
want,to + V1,I want to eat.
need,to + V1,You need to study.
like,to + V1,She likes to read.
decide,to + V1,They decided to leave.
plan,to + V1,We plan to visit Bali.
hope,to + V1,I hope to see you again.
try,to + V1,He tried to open the door.
learn,to + V1,I’m learning to drive.
promise,to + V1,She promised to help me.
agree,to + V1,He agreed to join the team.
refuse,to + V1,They refused to pay.
offer,to + V1,He offered to carry my bag.
ask,to + V1,She asked to leave early.
expect,to + V1,I expect to finish today.
would like,to + V1,I’d like to meet you.
enjoy,V-ing,I enjoy reading.
finish,V-ing,She finished writing her homework.
avoid,V-ing,He avoids eating fast food.
suggest,V-ing,She suggested going to the park.
consider,V-ing,They considered moving to another city.
admit,V-ing,He admitted making a mistake.
deny,V-ing,She denied stealing the money.
mind,V-ing,Do you mind opening the window?
risk,V-ing,He risked losing everything.
miss,V-ing,I miss playing football with my friends.
