english;artinya;jenis_adverb;kalimat
quickly;dengan cepat;manner;I am late so I walk the office quickly
slowly;dengan lambat;manner;I ride motorcycle slowly
carefully;dengan hati-hati;manner;let walk across the bridge carefully
badly;dengan buruk;manner;I have perform something badly
loudly;dengan keras;manner;I scream from top of the hill loudly
quietly;dengan pelan;manner;they kidnap the princess quietly
here;di sini;place;this lanscape is amazing from here
there;di sana;place;there you're go
everywhere;di mana-mana;place;I don't see it everywhere
nowhere;tidak di mana pun;place;out of nowhere
outside;di luar;place;please, wait me outside
inside;di dalam;place;what matter are inside your bag?
abroad;di luar negeri;place;many player of the Indonesian national teams plays abroad
now;sekarang;time;now I get it, how do I practice english quickly?
then;lalu;time;if you done then you can go out
soon;segera;time;well , I going after you soon
already;sudah;time;you're already
still;masih;time;I still waiting bus in the terminal, you would join us?
just;baru saja;time;please just minute
yesterday;kemarin;time;
today;hari ini;time;
tomorrow;besok;time;
always;selalu;frequency;
usually;biasanya;frequency;
often;sering;frequency;
sometimes;kadang-kadang;frequency;
seldom;jarang;frequency;
rarely;jarang sekali;frequency;
never;tidak pernah;frequency;
very;sangat;degree;
too;terlalu;degree;
enough;cukup;degree;
almost;hampir;degree;
quite;cukup/lumayan;degree;
extremely;sangat sekali;degree;
nearly;hampir;degree;
surely;pasti;certainty;
definitely;benar-benar;certainty;
certainly;tentu saja;certainty;
probably;mungkin;certainty;
perhaps;barangkali;certainty;
maybe;mungkin;certainty;
