no;english;artinya;jenis_prepos;;Kalimat;;;;;;;;;;
1;at;di / pada (jam/momen tertentu);tempat/waktu;;I go to school at 7 AM;;;;;;;;preposition;contoh;artinya/keterangan
2;in;"di dalam / pada (bulan, tahun)";tempat/waktu;;I plan to go bali with my wife in January;;;;;;;;at;at 7 AM;pada jam tertentu
3;on;"di atas / pada (hari, tanggal)";tempat/waktu;;I put my smartphone on the table for awhile;;;;;;;;at;at midnight;pada tengah malam
4;under;di bawah;tempat;;this morning I found a few balls under the bed ;;;;;;;;at;at lunchtime;pada waktu makan siang
5;above;di atas (lebih tinggi);tempat;;This building is placed above the underground station;;;;;;;;on;on Monday;pada hari Senin
6;below;di bawah (lebih rendah);tempat;;"where do you take the shoe?, I take the shoe below the chair";;;;;;;;on;on July 4th;pada tanggal tertentu (4 Juli)
7;over;di atas (melewati/menutupi);tempat/arah;;try to look for them above the hill;;;;;;;;on;on the weekend;"pada akhir pekan (US English, UK biasa pakai in)"
8;between;di antara (2 benda);tempat;;I have to choose between Islamic boarding school or public middle school;;;;;;;;in;in July;pada bulan Juli
9;among;di antara (lebih dari 2 benda);tempat;;"After graduate high school, I decide to study at university and I choose among famous university or cheap university";;;;;;;;in;in 2025;pada tahun 2025
10;behind;di belakang;tempat;;"Where do you put your bag?,  I put my bag behind building pillars";;;;;;;;in;in the morning;pada pagi hari
11;in front of;di depan;tempat;;;;;;;;;;in;in the 21st century;pada abad ke-21
12;next to;di samping;tempat;;;;;;;;;;;;
13;near;dekat;tempat;;;;;;;;;;preposition;contoh kalimat;artinya
14;inside;di dalam;tempat;;;;;;;;;;under;The cat is under the table.;Kucing itu berada di bawah meja (menempel/tertutupi).
15;outside;di luar;tempat;;;;;;;;;;on;The book is on the table.;Buku itu berada di atas meja (menempel di permukaan).
16;into;ke dalam;arah;;;;;;;;;;above;The lamp is above the table.;"Lampu itu berada di atas meja (lebih tinggi, tidak menempel)."
17;onto;ke atas;arah;;;;;;;;;;below;The temperature is below zero.;Suhu berada di bawah nol (lebih rendah).
18;across;melintasi;arah;;;;;;;;;;;;
19;along;sepanjang;arah;;;;;;;;;;;;
20;toward(s);menuju;arah;;;;;;;;;;;;
21;around;mengelilingi;tempat/arah;;;;;;;;;;;;
22;through;melalui;tempat/arah;;;;;;;;;;;;
23;by;sebelum (waktu) / dengan (cara);waktu/cara;;;;;;;;;;;;
24;before;sebelum;waktu;;;;;;;;;;;;
25;after;setelah;waktu;;;;;;;;;;;;
26;since;sejak;waktu;;;;;;;;;;;;
27;for;selama / untuk;waktu/cara;;;;;;;;;;;;
28;during;selama (periode tertentu);waktu;;;;;;;;;;;;
29;until/till;sampai;waktu;;;;;;;;;;;;
30;from;dari;waktu/arah;;;;;;;;;;;;
31;to;sampai ke;arah/waktu;;;;;;;;;;;;
32;with;dengan;cara/alat;;;;;;;;;;;;
33;about;tentang;umum;;;;;;;;;;;;
34;of; dari / milik;umum;;;;;;;;;;;;
35;without;tanpa;cara;;;;;;;;;;;;
36;like;seperti;umum;;;;;;;;;;;;
37;as;sebagai;umum;;;;;;;;;;;;
38;per;per (misalnya per jam);umum;;;;;;;;;;;;
