Bahasa Inggris,Terjemahan,Kolom Kosong 1,Kolom Kosong 2,Kalimat Berdasarkan Cerita
weekend,akhir pekan,,,"On the weekend, I visited my cousin who lives in a small village near the mountains."
visit,mengunjungi,,,"On the weekend, I visited my cousin who lives in a small village near the mountains."
cousin,sepupu,,,"On the weekend, I visited my cousin who lives in a small village near the mountains."
live,tinggal,,,"On the weekend, I visited my cousin who lives in a small village near the mountains."
small village,desa kecil,,,"On the weekend, I visited my cousin who lives in a small village near the mountains."
near,dekat,,,"On the weekend, I visited my cousin who lives in a small village near the mountains."
mountains,pegunungan,,,"On the weekend, I visited my cousin who lives in a small village near the mountains."
weather,cuaca,,,"The weather was cool, and the sky was filled with white clouds."
cool,sejuk,,,"The weather was cool, and the sky was filled with white clouds."
sky,langit,,,"The weather was cool, and the sky was filled with white clouds."
filled,dipenuhi,,,"The weather was cool, and the sky was filled with white clouds."
white clouds,awan putih,,,"The weather was cool, and the sky was filled with white clouds."
morning,pagi hari,,,"In the morning, we walked to a nearby river to catch some fish."
walk,berjalan,,,"In the morning, we walked to a nearby river to catch some fish."
nearby river,sungai terdekat,,,"In the morning, we walked to a nearby river to catch some fish."
catch,menangkap,,,"In the morning, we walked to a nearby river to catch some fish."
fish,ikan,,,"In the morning, we walked to a nearby river to catch some fish."
water,air,,,The water was very clear and I could see small fish swimming around.
clear,jernih,,,The water was very clear and I could see small fish swimming around.
see,melihat,,,The water was very clear and I could see small fish swimming around.
small fish,ikan kecil,,,The water was very clear and I could see small fish swimming around.
swimming,berenang,,,The water was very clear and I could see small fish swimming around.
around,di sekitar,,,The water was very clear and I could see small fish swimming around.
after,setelah,,,"After a few hours, we returned home with a basket of fresh fish."
hours,jam,,,"After a few hours, we returned home with a basket of fresh fish."
return,kembali,,,"After a few hours, we returned home with a basket of fresh fish."
home,rumah,,,"After a few hours, we returned home with a basket of fresh fish."
basket,keranjang,,,"After a few hours, we returned home with a basket of fresh fish."
fresh fish,ikan segar,,,"After a few hours, we returned home with a basket of fresh fish."
afternoon,sore hari,,,"In the afternoon, we grilled the fish together and enjoyed a delicious dinner with the whole family."
grill,memanggang,,,"In the afternoon, we grilled the fish together and enjoyed a delicious dinner with the whole family."
together,bersama,,,"In the afternoon, we grilled the fish together and enjoyed a delicious dinner with the whole family."
enjoy,menikmati,,,"In the afternoon, we grilled the fish together and enjoyed a delicious dinner with the whole family."
delicious,lezat,,,"In the afternoon, we grilled the fish together and enjoyed a delicious dinner with the whole family."
dinner,makan malam,,,"In the afternoon, we grilled the fish together and enjoyed a delicious dinner with the whole family."
family,keluarga,,,"In the afternoon, we grilled the fish together and enjoyed a delicious dinner with the whole family."
one of the best,salah satu yang paling menyenangkan,,,It was one of the best days I have had this year.
day,hari,,,It was one of the best days I have had this year.
have,memiliki,,,It was one of the best days I have had this year.
this year,tahun ini,,,It was one of the best days I have had this year.
