Adverb,Kategori,Contoh Kalimat (EN),Arti Kalimat (ID)
quickly,cara,She runs quickly.,Dia berlari dengan cepat.
slowly,cara,He drives slowly.,Dia mengemudi dengan perlahan.
carefully,cara,Please listen carefully.,Tolong dengarkan dengan hati-hati.
happily,cara,They smiled happily.,Mereka tersenyum dengan gembira.
loudly,cara,The children shouted loudly.,Anak-anak berteriak dengan keras.
now,waktu,He is studying now.,Dia sedang belajar sekarang.
today,waktu,I have a meeting today.,Saya ada rapat hari ini.
yesterday,waktu,We met yesterday.,Kami bertemu kemarin.
tomorrow,waktu,I’ll call you tomorrow.,Saya akan menelponmu besok.
soon,waktu,The bus will arrive soon.,Bus akan datang segera.
here,tempat,Come here.,Datanglah ke sini.
there,tempat,She lives there.,Dia tinggal di sana.
everywhere,tempat,He looked everywhere.,Dia mencari di mana-mana.
outside,tempat,Wait outside.,Tunggu di luar.
nearby,tempat,There’s a shop nearby.,Ada toko di dekat sini.
always,frekuensi,She always wakes up early.,Dia selalu bangun pagi.
usually,frekuensi,We usually eat at home.,Kami biasanya makan di rumah.
often,frekuensi,He often plays football.,Dia sering bermain sepak bola.
sometimes,frekuensi,I sometimes watch TV.,Saya kadang menonton TV.
rarely,frekuensi,She rarely eats meat.,Dia jarang makan daging.
never,frekuensi,I never smoke.,Saya tidak pernah merokok.
very,tingkat,She is very tall.,Dia sangat tinggi.
quite,tingkat,It’s quite cold today.,Hari ini cukup dingin.
too,tingkat,It’s too hot here.,Di sini terlalu panas.
almost,tingkat,I almost missed the train.,Saya hampir ketinggalan kereta.
enough,tingkat,She is strong enough.,Dia cukup kuat.
therefore,alasan,"He was late, therefore he missed the bus.","Dia terlambat, oleh karena itu dia ketinggalan bus."
thus,alasan,"She studied hard, thus she passed.","Dia belajar keras, dengan demikian dia lulus."
hence,alasan,"It rained, hence the wet floor.","Hujan, maka dari itu lantainya basah."
