Phrasal Verb,Meaning,Example
wake up,to stop sleeping,I wake up at 6 a.m. every day.
give up,to stop trying,He gave up smoking last year.
look after,to take care of,She looks after her younger brother.
find out,to discover information,I just found out about the meeting.
set up,to arrange/start something,They set up a new company.
turn on,to switch on,Please turn on the light.
turn off,to switch off,Don’t forget to turn off the TV.
pick up,to collect/learn,I’ll pick up my friend at the airport.
bring up,to mention a topic,She brought up an interesting idea.
carry on,to continue,Please carry on with your work.
check out,to leave a hotel / to verify,We checked out at noon.
come back,to return,He came back after two years abroad.
fill in,to complete (a form),Please fill in this form.
get along,to have a good relationship,They get along very well.
go on,to continue,The show must go on.
hold on,to wait,"Hold on a second, please."
look for,to search,I’m looking for my keys.
make up,to invent / to reconcile,She made up a story.
put off,to postpone,They put off the meeting until Friday.
run out,to have no more of something,We ran out of milk.
