English;Indonesia
noticed;Memperhatikan
the most out of ores;biji yang paling banyak
furnace;perapian
just so happens;kebetulan saja
smelt;peleburan
crafting;kerajinan
consider;pertimbangkan
take it easy;santai saja
poking arround;menyelidiki
why don't you pay me a visit;kenapa kamu tidak mengunjungiku?
concerning;tentang/mengenai
convenient;nyaman/mudah
arcane;batin/misterius
mediary;perantara
ethereal;sangat halus
foreseen;meramalkan
I'd like ;Aku ingin
have no;tidak punya
shortly;segera
obscure;samar/tersembunyi
aid;bantuan
one with the forest;menyatu dengan hutan
cauldron;kuali/kawah
drink up;minum habis
permeate;menyerap
abysmal;bukan main
remarkable;luar biasa
groundbreaking;inovatif
healthy greens;sayuran hijau yang sehat
sautee;tumis
sesame oil;minyak wijen
plenty;cukup
breathe;bernapas
thoughtful;penuh pertimbangan
