Category,Word,Meaning
verb,access,mengakses
verb,activate,mengaktifkan
verb,add,menambahkan
verb,allocate,mengalokasikan
verb,analyze,menganalisis
verb,apply,menerapkan
verb,authenticate,mengotentikasi
verb,backup,cadangan
verb,build,membangun
verb,calculate,menghitung
verb,change,mengubah
verb,click,mengklik
verb,clone,mengkloning
verb,compile,mengompilasi
verb,compress,memampatkan
verb,configure,mengkonfigurasi
verb,connect,menghubungkan
verb,convert,mengonversi
verb,copy,menyalin
verb,create,membuat
verb,debug,men-debug
verb,decrypt,mendekripsi
verb,delete,menghapus
verb,deploy,mendistribusikan
verb,design,merancang
verb,develop,mengembangkan
verb,disconnect,memutuskan
verb,download,mengunduh
verb,edit,mengedit
verb,encrypt,mengenkripsi
verb,execute,menjalankan
verb,expand,memperluas
verb,export,mengekspor
verb,extract,mengekstrak
verb,filter,memfilter
verb,fix,memperbaiki
verb,format,memformat
verb,generate,menghasilkan
verb,host,host
verb,import,mengimpor
verb,index,indeks
verb,initialize,menginisialisasi
verb,install,menginstal
verb,integrate,mengintegrasikan
verb,link,tautan
verb,load,memuat
verb,login,masuk
verb,logout,keluar
verb,maintain,memelihara
verb,merge,menggabungkan
verb,monitor,memantau
verb,move,memindahkan
verb,navigate,menavigasi
verb,optimize,mengoptimalkan
verb,parse,mengurai
verb,patch,menambal
verb,ping,ping
verb,print,mencetak
verb,process,proses
verb,program,program
verb,query,kueri
verb,reboot,me-restart
verb,recover,memulihkan
verb,redirect,mengalihkan
verb,refresh,menyegarkan
verb,register,mendaftar
verb,release,merilis
verb,remove,menghapus
verb,rename,mengganti nama
verb,replace,mengganti
verb,restore,memulihkan
verb,run,menjalankan
verb,save,menyimpan
verb,scan,memindai
verb,schedule,menjadwalkan
verb,search,mencari
verb,select,memilih
verb,send,mengirim
verb,share,membagikan
verb,shutdown,mematikan
verb,sort,mengurutkan
verb,start,memulai
verb,stop,menghentikan
verb,store,menyimpan
verb,submit,mengirimkan
verb,sync,sinkronisasi
verb,test,menguji
verb,track,melacak
verb,transfer,mentransfer
verb,transform,mentransformasi
verb,uninstall,menghapus instalasi
verb,update,pembaruan
verb,upgrade,meningkatkan
verb,upload,mengunggah
verb,validate,memvalidasi
verb,verify,memverifikasi
noun,account,akun
noun,address,alamat
noun,administrator,administrator
noun,algorithm,algoritma
noun,application,aplikasi
noun,array,larik
noun,backup,cadangan
noun,bandwidth,bandwidth
noun,bit,bit
noun,blockchain,blockchain
noun,browser,peramban
noun,buffer,penyangga
noun,byte,byte
noun,cache,cache
noun,certificate,sertifikat
noun,channel,saluran
noun,chip,chip
noun,cloud,komputasi awan
