Preposition,Kategori,Contoh Kalimat (EN),Arti Kalimat (ID)
in,tempat,The cat is in the box.,Kucing ada di dalam kotak.
on,tempat,The book is on the table.,Buku ada di atas meja.
at,tempat,She is at the bus stop.,Dia ada di halte bus.
under,tempat,The shoes are under the bed.,Sepatu ada di bawah tempat tidur.
behind,tempat,The car is behind the house.,Mobil ada di belakang rumah.
between,tempat,The ball is between the chairs.,Bola di antara dua kursi.
among,tempat,She was sitting among friends.,Dia duduk di antara teman-temannya.
near,tempat,The school is near my house.,Sekolah dekat rumah saya.
at,waktu,Meet me at 7 o’clock.,Temui aku pada jam 7.
on,waktu,We will go on Monday.,Kita akan pergi pada hari Senin.
in,waktu,They arrived in May.,Mereka tiba pada bulan Mei.
before,waktu,Finish it before dinner.,Selesaikan sebelum makan malam.
after,waktu,We’ll go out after class.,Kita akan pergi setelah kelas.
since,waktu,I have lived here since 2010.,Saya telah tinggal di sini sejak 2010.
for,waktu,I’ve known her for 5 years.,Saya mengenalnya selama 5 tahun.
during,waktu,He slept during the meeting.,Dia tidur selama rapat.
until,waktu,Wait until 6 p.m.,Tunggu sampai jam 6 sore.
to,arah,He went to school.,Dia pergi ke sekolah.
into,arah,The frog jumped into the pond.,Katak melompat ke dalam kolam.
out of,arah,She ran out of the room.,Dia berlari keluar dari ruangan.
towards,arah,He walked towards me.,Dia berjalan menuju aku.
across,arah,They ran across the street.,Mereka menyeberang jalan.
through,arah,The train passed through the tunnel.,Kereta lewat melalui terowongan.
along,arah,We walked along the beach.,Kami berjalan di sepanjang pantai.
by,cara,We go by car.,Kami pergi dengan mobil.
with,cara,He cut the cake with a knife.,Dia memotong kue dengan pisau.
like,cara,She sings like an angel.,Dia bernyanyi seperti malaikat.
for,tujuan,This gift is for you.,Hadiah ini untukmu.
because of,sebab,He was late because of traffic.,Dia terlambat karena macet.
due to,sebab,The flight was delayed due to fog.,Penerbangan tertunda karena kabut.
of,kepemilikan,The color of the sky is blue.,Warna langit adalah biru.
with,kepemilikan,A man with a beard.,Seorang pria dengan janggut.
