Bahasa Inggris,Terjemahan,Kolom Kosong 1,Kolom Kosong 2,Kalimat Berdasarkan Cerita
On,Pada,,,"On a beautiful morning, villagers were surprised by a loud sound from the forest."
beautiful,indah,,,"On a beautiful morning, villagers were surprised by a loud sound from the forest."
morning,pagi,,,"On a beautiful morning, villagers were surprised by a loud sound from the forest."
villagers,warga desa,,,"On a beautiful morning, villagers were surprised by a loud sound from the forest."
is,adalah,,,villagers is suprised by loud sound of forest.
suprised,terkejut,,,villagers is suprised by loud sound of forest.
by,oleh,,,villagers is suprised by loud sound of forest.
loud,keras,,,villagers is suprised by loud sound of forest.
sound,suara,,,villagers is suprised by loud sound of forest.
of,dari,,,villagers is suprised by loud sound of forest.
forest,hutan,,,villagers is suprised by loud sound of forest.
When,Ketika,,,"When we approching, a big deer trapped among the fallen rod of tree."
we,kami,,,"When we approching, a big deer trapped among the fallen rod of tree."
approching,mendekat,,,"When we approching, a big deer trapped among the fallen rod of tree."
a,sebuah,,,a big deer trapped among the fallen rod of tree.
the,itu,,,the big deer trapped among the fallen rod of tree.
big,besar,,,the big deer trapped among the fallen rod of tree.
deer,rusa,,,the big deer trapped among the fallen rod of tree.
trapped,terjebak,,,the big deer trapped among the fallen rod of tree.
among,di antara,,,trapped among the fallen rod of tree.
the,itu,,,the fallen rod of tree.
fallen,roboh,,,the fallen rod of tree.
rod,batang,,,the fallen rod of tree.
of,dari,,,rod of tree.
tree,pohon,,,rod of tree.
looks,terlihat,,,Deer looks afraid but not injured.
afraid,takut,,,Deer looks afraid but not injured.
but,tetapi,,,afraid but not injured.
not,tidak,,,but not injured.
injured,terluka,,,but not injured.
Some,Beberapa,,,Some villager immediately team up to move it rod of tree.
villager,warga desa,,,Some villager immediately team up to move it rod of tree.
immediately,segera,,,Some villager immediately team up to move it rod of tree.
team,bekerja sama,,,Some villager immediately team up to move it rod of tree.
up,bersama,,,team up to move it rod of tree.
to,untuk,,,to move it rod of tree.
move,memindahkan,,,to move it rod of tree.
it,itu,,,to move it rod of tree.
After,Setelah,,,"After a few minutes, Deer eventually free and running back to the forest."
few,beberapa,,,"After a few minutes, Deer eventually free and running back to the forest."
minutes,menit,,,"After a few minutes, Deer eventually free and running back to the forest."
eventually,akhirnya,,,Deer eventually free and running back to the forest.
free,bebas,,,Deer eventually free and running back to the forest.
and,dan,,,free and running back to the forest.
running,berlari,,,and running back to the forest.
back,kembali,,,running back to the forest.
feel,merasa,,,Villagers feel relieved and happy for be save the animal.
relieved,lega,,,Villagers feel relieved and happy for be save the animal.
happy,senang,,,Villagers feel relieved and happy for be save the animal.
for,karena,,,happy for be save the animal.
be,menjadi,,,for be save the animal.
save,menyelamatkan,,,for be save the animal.
animal,hewan,,,for be save the animal.
